district,urban_rural,deaths,injured,serious_injuries,attacker_deaths,attacker_injured,casualty_asof,casualty_note,involves_children,victim_relation,age,sex,occupation,motive_summary,mental_health,prior_violence,warning_signals,intervention,outcome,judgment_date,execution_date,last_source_date,notes,deaths_lower_bound,injured_lower_bound,motive_tags,motive_basis,evidence_level,official_occurrence,official_classification,classification_evidence,id,date,date_precision,title,province,city,scene,method,category,classification_reason,source_ids,field_sources,reported_date,review_year,dating_note,review_batch,injured_reported,series_id,additional_collision_injured,response_injured,event_total_injured_reported,motive_attribution,date_time,continuous_attack,motive_themes,verification_gaps,social_source_urls,year,month,quarter,category_label,official,same_period,motive_known,deaths_min,injured_min,driver_deaths
,,,,,,,,,,,,,,,,,,,,,,2026-02-16,具名指控不转化为已认定犯罪；不保存私宅位置。,,,[],未知,网传待核,False,False,网传线索，未独立核实,LX26A05,,unknown,网传郴州德润龙庭开发商车辆冲撞业主事件,湖南,郴州,社区住宅,驾车,pending,举报指向开发商与维权业主一家，尚无无关公众目标证据；事件细节、故意性、处罚决定未取得独立核实。,"[""LXS26A09"", ""LXS26A10"", ""LXS26A01""]","{""date"": [], ""location"": [""LXS26A09"", ""LXS26A10""], ""casualties"": [], ""classification"": [""LXS26A09"", ""LXS26A10""], ""motive"": [], ""outcome"": []}",2026-02-12,2026,原帖为举报投稿，未写案发日；汇总把发帖日写成2月12日，不据此定年或月。,2026-X补查,,,,,,,,,[],举报指向开发商与维权业主一家，尚无无关公众目标证据；事件细节、故意性、处罚决定未取得独立核实。,"[""https://x.com/whyyoutouzhele/status/2021957529614659891"", ""https://x.com/whyyoutouzhele/status/2023245955009818757"", ""https://x.com/whyyoutouzhele/status/2039625155404509246""]",,,,待核实,False,False,False,0,0,
,,,,,,,,投稿称1死与精神病，均不录为确认字段。,,,,,,,,,,,,,,2026-02-21,,,,[],未知,网传待核,False,False,网传线索，未独立核实,LX26A06,,unknown,网传开封街头一男子遭持刀袭击,河南,开封,街道交通,持械,pending,原帖仅有近日的网络影像描述；日期、被害关系、死伤及故意袭击背景均未核实。,"[""LXS26A11"", ""LXS26A01""]","{""date"": [], ""location"": [""LXS26A11""], ""casualties"": [], ""classification"": [""LXS26A11""], ""motive"": [], ""outcome"": []}",2026-02-21,2026,原帖只写近日，汇总2月21日是发帖日而非已核案发日。,2026-X补查,,,,,,,,,[],原帖仅有近日的网络影像描述；日期、被害关系、死伤及故意袭击背景均未核实。,"[""https://x.com/whyyoutouzhele/status/2025057897718124649"", ""https://x.com/whyyoutouzhele/status/2039625155404509246""]",,,,待核实,False,False,False,0,0,
,,,,,,,2026-03-30,官方事迹确认一名教师受伤；不是完整伤亡统计。,,定向报复教师,,,,,,,,家长和其他教师合力制止。,嫌疑人被抓获。,,,2026-03-30,,,1,[],未知,官方原文,True,True,官方明确特定报复对象,LX26A17,2026-01-07,day,中山教培中心教师遭定向持刀报复案,广东,中山,校园及周边,持械,excluded,官方称行凶者将特定教师叫出教室报复；未见攻击其他学生或无关制止者。,"[""LXS26A22""]","{""date"": [""LXS26A22""], ""location"": [""LXS26A22""], ""casualties"": [""LXS26A22""], ""classification"": [""LXS26A22""], ""motive"": [], ""outcome"": [""LXS26A22""], ""intervention"": [""LXS26A22""]}",,2026,,2026-X补查,,,,,,,,,[],,[],2026,2026-01,2026-Q1,排除,True,True,False,0,1,
红谷滩区,,,1,,,,2026-01-11,警方仅确认女子表皮伤；不推定保安受伤。,,初始受伤者为店员；安保参与制止，遭进一步攻击的说法待核,32,男,,,,,,学生、群众与保安制止。,嫌疑人当场控制。,,,2026-03-30,,,,[],未知,官方原文,True,False,官方确认店员受伤及群众制止；扩大事实仅来自澎湃综合网络素材标题对保安遭推搡的记载，未核得独立现场采访或完整视频。,LX26A15,2026-01-10,day,南昌万象城女子遭刀划伤及制止过程,江西,南昌,商业场所,持械,pending,警方确认一名女子受伤，官方事迹确认店员遇袭及群众制止。媒体标题称安保遭推搡险坠扶梯，但正文没有独立调查该过程，初始双方关系也未明；事件发生已核实，公众目标或扩大攻击仍待核。,"[""LXS26A22"", ""LXS26A23"", ""LXS26A24""]","{""date"": [""LXS26A23""], ""location"": [""LXS26A23""], ""casualties"": [""LXS26A23""], ""classification"": [""LXS26A22"", ""LXS26A24""], ""motive"": [], ""outcome"": [""LXS26A23""], ""demographics"": [""LXS26A23""]}",,2026,,2026-X补查,,,,,,,,,[],警方确认一名女子受伤，官方事迹确认店员遇袭及群众制止。媒体标题称安保遭推搡险坠扶梯，但正文没有独立调查该过程，初始双方关系也未明；事件发生已核实，公众目标或扩大攻击仍待核。,[],2026,2026-01,2026-Q1,待核实,False,True,False,0,1,
沈河区,,,,,,,2026-03-30,,,女孩及上前救助的路人,,,,,,,,群众持续制止并协助警察抓获。,嫌疑人被抓获。,,,2026-03-30,,,2,[],未知,官方原文,True,True,官方材料直接记载行凶者转而挥刀砍伤无关救助者，支持扩大分类。,LX26A16,2026-01-11,day,沈阳南顺城路女孩与救助者遭持刀袭击,辽宁,沈阳,街道交通,持械,expanded,官方明确先伤女孩，再向上前制止的路人挥刀致伤；原被害关系未知，无关救助者受袭已确认。,"[""LXS26A22""]","{""date"": [""LXS26A22""], ""location"": [""LXS26A22""], ""casualties"": [""LXS26A22""], ""classification"": [""LXS26A22""], ""motive"": [], ""outcome"": [""LXS26A22""], ""intervention"": [""LXS26A22""]}",,2026,,2026-X补查,,,,,,,,,[],,[],2026,2026-01,2026-Q1,纠纷扩大,True,True,False,0,2,
五华区,,,,,,,2026-07-09,事迹确认至少1名伤者，未披露全案伤亡总数。,,路过人员,,男,,,,,,路人报警、劝阻并夺刀，警方抓获。,嫌疑人被抓获。,,,2026-07-09,,,1,[],未知,官方原文,True,True,官方明确无故伤害路人,LX26A12,2026-01-15,day,昆明五华区路人遭持刀袭击并索财案,云南,昆明,社区住宅,持械,core,官方明确无故持刀伤害路人，倒地后继续勒颈索财，支持针对无关公众的主动袭击。,"[""LXS26A18""]","{""date"": [""LXS26A18""], ""location"": [""LXS26A18""], ""casualties"": [""LXS26A18""], ""classification"": [""LXS26A18""], ""motive"": [], ""outcome"": [""LXS26A18""], ""intervention"": [""LXS26A18""], ""demographics"": [""LXS26A18""]}",,2026,,2026-X补查,,,,,,,,,[],,[],2026,2026-01,2026-Q1,核心,True,True,False,0,1,
港口镇,,,2,,,,2026-01-19,,,,27,男,,,警方仅描述语言混乱、行为异常；不作精神病诊断,,,,司机被当场控制。,,,2026-01-19,,,,[],未知,官方转载,True,False,发生已确认，故意性待核,LX26A01,2026-01-19,day,中山港口镇货车连续碰撞事件,广东,中山,街道交通,驾车,pending,警方确认碰撞及2伤；重复碾压的社媒描述支持故意性疑点，但未取得可核验行车过程或独立事故调查。,"[""LXS26A02"", ""LXS26A03"", ""LXS26A01""]","{""date"": [""LXS26A03""], ""location"": [""LXS26A03""], ""casualties"": [""LXS26A03""], ""classification"": [""LXS26A02"", ""LXS26A03""], ""motive"": [], ""outcome"": [""LXS26A03""], ""demographics"": [""LXS26A03""]}",,2026,,2026-X补查,,,,,,,,,[],警方确认碰撞及2伤；重复碾压的社媒描述支持故意性疑点，但未取得可核验行车过程或独立事故调查。,"[""https://x.com/whyyoutouzhele/status/2013240567606464850"", ""https://x.com/whyyoutouzhele/status/2039625155404509246""]",2026,2026-01,2026-Q1,待核实,False,True,False,0,2,
白云区,乡镇,,,,,,,网传夫妻受伤未获可靠完整确认，精确人数留空。,,,,,,,,,,,,,,2026-01-27,癌症及身体状况、动机不录为事实。,,,[],未知,网传待核,False,False,网传线索，未独立核实,LX26A02,2026-01-26,day,网传广州太和镇街头夫妻遭持刀袭击,广东,广州,街道交通,持械,pending,原帖及媒体转述均指向突然袭击过路夫妻，但来源同为未核监控及匿名投稿；缺独立现场核实。,"[""LXS26A04"", ""LXS26A05"", ""LXS26A01""]","{""date"": [""LXS26A04"", ""LXS26A05""], ""location"": [""LXS26A04"", ""LXS26A05""], ""casualties"": [], ""classification"": [""LXS26A04"", ""LXS26A05""], ""motive"": [], ""outcome"": []}",,2026,按同期原帖1月26日；4月汇总误写1月27日。,2026-X补查,,,,,,,,,[],原帖及媒体转述均指向突然袭击过路夫妻，但来源同为未核监控及匿名投稿；缺独立现场核实。,"[""https://x.com/whyyoutouzhele/status/2016096346025939186"", ""https://x.com/whyyoutouzhele/status/2039625155404509246""]",2026,2026-01,2026-Q1,待核实,False,True,False,0,0,
沙坪坝区,,0,2,,,,2026-03-30,,,陌生路过女子及救助代驾员,,男,,,,,,路人报警护送，随后抵挡袭击。,当日7时许嫌疑人被抓获。,,,2026-07-05,,,,[],未知,官方原文,True,True,官方明确陌生关系及持续追踪攻击,LX26A18,2026-01-27,day,重庆凤鸣山陌生女子及救助者遇袭案,重庆,重庆,街道交通,持械,core,文明办原文明确女孩遭陌生男子尾随勒颈；其脱身求救后男子继续追踪并持刀伤女孩和无关救助者。,"[""LXS26A22"", ""LXS26A27""]","{""date"": [""LXS26A22"", ""LXS26A27""], ""location"": [""LXS26A22"", ""LXS26A27""], ""casualties"": [""LXS26A22""], ""classification"": [""LXS26A27""], ""motive"": [], ""outcome"": [""LXS26A22""], ""intervention"": [""LXS26A22"", ""LXS26A27""], ""demographics"": [""LXS26A27""]}",,2026,,2026-X补查,,,,,,,,,[],,[],2026,2026-01,2026-Q1,核心,True,True,False,0,2,
兴庆区,城市,1,,,,,2026-02-01,,,同小区居民，双方先有口角并约见,44,男,,小区社交群琐事争执后约见，矛盾激化。,,,,,嫌疑人刑事拘留。,,,2026-02-01,税费动机初帖与警方说法不一致，不采信。,,,"[""邻里纠纷""]",警方初步通报,官方转载,True,True,警方具体关系及作案经过,LX26A03,2026-01-31,day,银川朝阳巷约见争执持刀杀人案,宁夏,银川,街道交通,持械,excluded,警方明确两名同小区居民因群内争执约见后冲突，未披露扩大伤害无关者。,"[""LXS26A06"", ""LXS26A07"", ""LXS26A01""]","{""date"": [""LXS26A07""], ""location"": [""LXS26A07""], ""casualties"": [""LXS26A07""], ""classification"": [""LXS26A07""], ""motive"": [""LXS26A07""], ""outcome"": [""LXS26A07""], ""demographics"": [""LXS26A07""]}",,2026,,2026-X补查,,,,,,,,,"[""其他已披露背景""]",,"[""https://x.com/whyyoutouzhele/status/2017756836741468453"", ""https://x.com/whyyoutouzhele/status/2039625155404509246""]",2026,2026-01,2026-Q1,排除,True,True,True,1,0,
