event_id,category,tag,theme,basis,summary,source_ids
A001,core,泄愤,泄愤／转移报复,法院认定,法院认定为发泄个人不满情绪，具体不满事项未披露。,"[""AS001""]"
A043,excluded,感情纠纷,婚姻／家庭／感情问题,法院认定,分手后预谋报复。,"[""AS029""]"
A003,expanded,人际纠纷,其他已披露背景,法院认定,最高法概述个人琐事不满；案情回顾指交往受拒、交易争执后愤怒。,"[""AS004""]"
A003,expanded,泄愤,泄愤／转移报复,法院认定,最高法概述个人琐事不满；案情回顾指交往受拒、交易争执后愤怒。,"[""AS004""]"
A004,core,生活挫折,生活受挫／疏离／厌世,法院认定,工作生活挫折和对就读时被欺负的怨恨，转为报复无关学生。,"[""AS005"", ""AS006""]"
A004,core,转移报复,泄愤／转移报复,法院认定,工作生活挫折和对就读时被欺负的怨恨，转为报复无关学生。,"[""AS005"", ""AS006""]"
A007,core,报复社会,泄愤／转移报复,法院认定,自称在公交车遭恶意扎针染病，因而产生报复社会念头；所谓扎针染病不是已证实事实。,"[""AS009""]"
A007,core,被害归因,其他已披露背景,法院认定,自称在公交车遭恶意扎针染病，因而产生报复社会念头；所谓扎针染病不是已证实事实。,"[""AS009""]"
A009,core,生活挫折,生活受挫／疏离／厌世,法院认定,工作生活不顺而泄愤报复无辜者。,"[""AS011""]"
A009,core,泄愤,泄愤／转移报复,法院认定,工作生活不顺而泄愤报复无辜者。,"[""AS011""]"
A011,core,报复社会,泄愤／转移报复,法院认定,因个人经历及不满产生报复社会念头。,"[""AS013""]"
A012,core,家庭纠纷,婚姻／家庭／感情问题,法院认定,家庭争执后的个人泄愤。,"[""AS014""]"
A012,core,转移报复,泄愤／转移报复,法院认定,家庭争执后的个人泄愤。,"[""AS014""]"
A049,core,家庭变故,婚姻／家庭／感情问题,警方初步通报,警方认定家庭变故后酒后泄愤。,"[""AS053"", ""AS054""]"
A049,core,泄愤,泄愤／转移报复,警方初步通报,警方认定家庭变故后酒后泄愤。,"[""AS053"", ""AS054""]"
A014,excluded,乘车纠纷,其他已披露背景,警方初步通报,坐过站后的争执与互殴。,"[""AS017""]"
A015,core,经济压力,经济／工作／财产纠纷,法院认定,经济压力、婚姻及人际问题等不满。,"[""AS018""]"
A015,core,婚姻矛盾,婚姻／家庭／感情问题,法院认定,经济压力、婚姻及人际问题等不满。,"[""AS018""]"
A015,core,泄愤,泄愤／转移报复,法院认定,经济压力、婚姻及人际问题等不满。,"[""AS018""]"
